Student ID,"ES 1.1 
(2 points)","ES 1.2 
(3 points)","ES 2.1
(2 points)","ES 2.2
(3 points)","ES 3.1
(1 points)","ES 3.2
(2 points)","ES 3.3
(2 points)","ES 3.4
(2 points)","ES 3.5
(3 points)","ES 4.1
(15 points)","ES 4.2
(10 points)","ES 5.1
(2 points)","ES 5.2
(10 points)","ES 5.3
(3 points)","ES 6.1
(25 points)","ES 6.2
(15 points)","TOTAL
(100 points)"
36,2.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,13.0,9.0,2.0,10.0,3.0,16.0,13.0,79.0
37,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0
39,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,10.0,15.0,41.0
41,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,13.0,10.0,2.0,10.0,3.0,25.0,15.0,98.0
44,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,7.0,0.0,5.0,3.0,4.0,10.0,50.0
46,2.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
48,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,7.0,0.0,2.5,2.0,10.0,15.0,71.5
51,1.5,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
53,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,15.0,7.0,1.0,8.0,1.5,12.0,10.0,70.5
56,2.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,15.0,10.0,1.0,4.0,1.5,18.0,8.0,71.5
59,2.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,7.0,2.0,8.0,3.0,0.0,0.0,40.0
62,2.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0
63,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,7.0,6.0,2.0,10.0,3.0,12.0,10.0,69.0
66,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,8.0,3.0,18.0,10.0,86.0
67,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,14.5,10.0,2.0,8.0,3.0,15.0,10.0,80.5
68,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.5,3.0,13.0,7.0,2.0,10.0,3.0,5.0,3.0,62.5
72,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,7.0,2.0,10.0,3.0,24.0,15.0,95.0
73,2.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,1.5,3.0,5.0,28.5
74,1.5,2.0,1.5,0.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0
76,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,2.0,15.0,10.0,2.0,10.0,3.0,24.0,12.0,93.5
78,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,4.0,0.0,5.0,1.5,24.5,10.0,78.0
81,2.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,15.0,7.0,2.0,4.0,3.0,25.0,15.0,87.0
83,2.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,3.0,2.0,4.0,1.5,10.0,0.0,35.5
85,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,13.0,10.0,2.0,0.0,1.5,25.0,12.0,82.0
86,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,1.0,5.0,3.0,25.0,15.0,94.0
87,2.0,3.0,1.5,1.5,1.0,2.0,2.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,8.0,13.0,46.0
88,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,8.0,3.0,25.0,15.0,96.0
89,2.0,3.0,1.5,0.0,1.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.5
92,1.5,3.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,19.5
93,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,3.0,6.0,0.0,0.0,1.5,24.0,13.0,66.0
96,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,15.0,7.0,2.0,10.0,3.0,12.0,10.0,77.5
98,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,13.0,10.0,2.0,4.0,1.5,10.0,8.0,66.5
99,1.5,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
100,2.0,3.0,1.0,1.5,1.0,2.0,2.0,2.0,3.0,13.0,7.0,2.0,8.0,1.5,24.0,10.0,83.0
101,2.0,3.0,0.5,1.0,1.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,18.5
106,2.0,3.0,1.5,0.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,7.0,15.0,45.5
